"[30, 142]","[40, 134]","[50, 127]","[60, 139]","[70, 178]"
"[30, 149]","[40, 127]","[50, 131]","[60, 141]","[70, 179]"
"[30, 149]","[40, 130]","[50, 132]","[60, 137]","[70, 173]"
"[30, 148]","[40, 137]","[50, 129]","[60, 138]","[70, 172]"
"[30, 147]","[40, 131]","[50, 136]","[60, 137]","[70, 186]"
"[30, 153]","[40, 130]","[50, 130]","[60, 141]","[70, 172]"
"[30, 147]","[40, 136]","[50, 128]","[60, 137]","[70, 177]"
"[30, 148]","[40, 132]","[50, 136]","[60, 140]","[70, 172]"
"[30, 145]","[40, 131]","[50, 127]","[60, 139]","[70, 174]"
"[30, 143]","[40, 131]","[50, 131]","[60, 139]","[70, 172]"
"[30, 146]","[40, 136]","[50, 129]","[60, 136]","[70, 171]"
