"[18.2133015484121, 108.27992551703106]","[68.50600994309086, 112.41356935409931]"
"[18.184163711263608, 112.35155443209263]","[68.23672629484327, 116.43351125610255]"
"[17.55094807053056, 114.26566662143817]","[68.55559404243962, 113.44090956036906]"
"[18.698971791194744, 107.35720142201471]","[68.42046105848218, 115.45053483945871]"
"[18.338970997461637, 108.30513525875111]","[67.74871318654947, 118.3768674358238]"
"[17.878263333197555, 111.27232913329034]","[68.18410273417507, 115.40610724819446]"
"[14.839670104366972, 100.31085137851646]","[63.54468453969444, 113.40510460579021]"
"[43.30287304469441, 106.67699299303925]"
"[18.129291844970105, 111.32194134380649]","[68.0783785969732, 116.40380295714615]"
"[17.27219901563595, 115.22998612845461]","[68.10417830649209, 115.39096798295019]"
"[17.9781671023795, 112.31135864596774]","[68.35401672855606, 116.45537305747354]"
"[22.601359192591715, 112.15176145961625]","[73.44184989731865, 117.28695851710778]"
"[18.15681042336341, 110.30810294055786]","[68.40925618458502, 114.43094978106708]"
"[17.750632983779777, 111.2468794668296]","[68.36984933064858, 114.42350738016772]"
"[17.962561228524443, 111.28905509787474]","[68.42046105848218, 115.45053483945871]"
"[22.810354209556333, 112.2026104824766]","[73.14654472409127, 118.25507830424368]"
"[17.531264725224435, 113.24247332646111]","[68.53676726533809, 115.47221232713196]"
"[17.508405371470424, 114.25729941531532]","[67.86925727931894, 118.39946325055814]"
"[18.433251327796953, 109.34339418092729]","[68.46628946073679, 112.4059652780688]"
"[23.625853409973008, 107.25487105947163]","[73.18569413542319, 118.2606512396842]"
"[17.9781671023795, 112.31135864596774]","[68.01327856267889, 117.40905680304746]"
"[18.073255636689336, 110.29152444421872]","[68.18410273417507, 115.40610724819446]"
"[18.05847545210162, 109.26880616229587]","[68.48764329967037, 114.44571213976569]"
"[17.64051268181058, 112.24462492898114]","[68.23672629484327, 116.43351125610255]"
"[18.19835969680718, 110.31632237549626]","[68.06399744808083, 115.38333453586166]"
"[15.395881221498648, 97.36078510883742]","[63.57044054525425, 111.35654863873117]"
"[18.004472679777038, 111.29734622967574]","[67.82921488736223, 118.39197096095819]"
"[17.01609542052696, 117.21792819978575]","[68.27596136445521, 116.44083757597069]"
"[18.239746230470598, 110.32449300610607]","[68.5455890403998, 112.42113123888872]"
"[17.5740627174404, 113.25096144400197]","[68.2619759202525, 118.47219419139718]"
"[17.768312896080133, 112.27000751631957]","[68.14421340792472, 115.39855917297771]"
"[17.768312896080133, 112.27000751631957]","[68.51638661816348, 113.43349085746337]"
"[39.12168385423199, 105.82941825855727]"
